시간,지지율
2025-05-15 00:00:00,23.0
2025-05-15 01:00:00,23.1
2025-05-15 02:00:00,23.1
2025-05-15 03:00:00,23.2
2025-05-15 04:00:00,23.2
2025-05-15 05:00:00,23.3
2025-05-15 06:00:00,23.3
2025-05-15 07:00:00,23.4
2025-05-15 08:00:00,23.4
2025-05-15 09:00:00,23.5
2025-05-15 10:00:00,23.5
2025-05-15 11:00:00,23.6
2025-05-15 12:00:00,23.6
2025-05-15 13:00:00,23.7
2025-05-15 14:00:00,23.8
2025-05-15 15:00:00,23.8
2025-05-15 16:00:00,23.9
2025-05-15 17:00:00,23.9
2025-05-15 18:00:00,24.0
2025-05-15 19:00:00,24.0
2025-05-15 20:00:00,24.1
2025-05-15 21:00:00,24.1
2025-05-15 22:00:00,24.2
2025-05-15 23:00:00,24.2
2025-05-16 00:00:00,24.3
2025-05-16 01:00:00,24.3
2025-05-16 02:00:00,24.4
2025-05-16 03:00:00,24.5
2025-05-16 04:00:00,24.5
2025-05-16 05:00:00,24.6
2025-05-16 06:00:00,24.6
2025-05-16 07:00:00,24.7
2025-05-16 08:00:00,24.7
2025-05-16 09:00:00,24.8
2025-05-16 10:00:00,24.8
2025-05-16 11:00:00,24.9
2025-05-16 12:00:00,24.9
2025-05-16 13:00:00,25.0
2025-05-16 14:00:00,25.0
2025-05-16 15:00:00,25.1
2025-05-16 16:00:00,25.2
2025-05-16 17:00:00,25.2
2025-05-16 18:00:00,25.3
2025-05-16 19:00:00,25.3
2025-05-16 20:00:00,25.4
2025-05-16 21:00:00,25.4
2025-05-16 22:00:00,25.5
2025-05-16 23:00:00,25.5
2025-05-17 00:00:00,25.6
2025-05-17 01:00:00,25.6
2025-05-17 02:00:00,25.7
2025-05-17 03:00:00,25.7
2025-05-17 04:00:00,25.8
2025-05-17 05:00:00,25.9
2025-05-17 06:00:00,25.9
2025-05-17 07:00:00,26.0
2025-05-17 08:00:00,26.0
2025-05-17 09:00:00,26.1
2025-05-17 10:00:00,26.1
2025-05-17 11:00:00,26.2
2025-05-17 12:00:00,26.2
2025-05-17 13:00:00,26.3
2025-05-17 14:00:00,26.3
2025-05-17 15:00:00,26.4
2025-05-17 16:00:00,26.4
2025-05-17 17:00:00,26.5
2025-05-17 18:00:00,26.6
2025-05-17 19:00:00,26.6
2025-05-17 20:00:00,26.7
2025-05-17 21:00:00,26.7
2025-05-17 22:00:00,26.8
2025-05-17 23:00:00,26.8
2025-05-18 00:00:00,26.9
2025-05-18 01:00:00,26.9
2025-05-18 02:00:00,27.0
2025-05-18 03:00:00,27.0
2025-05-18 04:00:00,27.1
2025-05-18 05:00:00,27.1
2025-05-18 06:00:00,27.2
2025-05-18 07:00:00,27.3
2025-05-18 08:00:00,27.3
2025-05-18 09:00:00,27.4
2025-05-18 10:00:00,27.4
2025-05-18 11:00:00,27.5
2025-05-18 12:00:00,27.5
2025-05-18 13:00:00,27.6
2025-05-18 14:00:00,27.6
2025-05-18 15:00:00,27.7
2025-05-18 16:00:00,27.7
2025-05-18 17:00:00,27.8
2025-05-18 18:00:00,27.8
2025-05-18 19:00:00,27.9
2025-05-18 20:00:00,28.0
2025-05-18 21:00:00,28.0
2025-05-18 22:00:00,28.1
2025-05-18 23:00:00,28.1
2025-05-19 00:00:00,28.2
2025-05-19 02:00:00,28.3
