시간,지지율
2025-05-15 00:00:00,5.2
2025-05-15 01:00:00,5.2
2025-05-15 02:00:00,5.2
2025-05-15 03:00:00,5.3
2025-05-15 04:00:00,5.3
2025-05-15 05:00:00,5.3
2025-05-15 06:00:00,5.3
2025-05-15 07:00:00,5.3
2025-05-15 08:00:00,5.3
2025-05-15 09:00:00,5.4
2025-05-15 10:00:00,5.4
2025-05-15 11:00:00,5.4
2025-05-15 12:00:00,5.4
2025-05-15 13:00:00,5.4
2025-05-15 14:00:00,5.4
2025-05-15 15:00:00,5.5
2025-05-15 16:00:00,5.5
2025-05-15 17:00:00,5.5
2025-05-15 18:00:00,5.5
2025-05-15 19:00:00,5.5
2025-05-15 20:00:00,5.5
2025-05-15 21:00:00,5.6
2025-05-15 23:00:00,5.6
2025-05-16 00:00:00,5.6
2025-05-16 02:00:00,5.6
2025-05-16 05:00:00,5.7
2025-05-16 06:00:00,5.7
2025-05-16 07:00:00,5.7
2025-05-16 08:00:00,5.7
2025-05-16 09:00:00,5.8
2025-05-16 10:00:00,5.8
2025-05-16 11:00:00,5.8
2025-05-16 12:00:00,5.8
2025-05-16 13:00:00,5.8
2025-05-16 14:00:00,5.8
2025-05-16 15:00:00,5.9
2025-05-16 16:00:00,5.9
2025-05-16 17:00:00,5.9
2025-05-16 18:00:00,5.9
2025-05-16 19:00:00,5.9
2025-05-16 20:00:00,5.9
2025-05-16 21:00:00,6.0
2025-05-16 22:00:00,6.0
2025-05-16 23:00:00,6.0
2025-05-17 00:00:00,6.0
2025-05-17 03:00:00,6.1
2025-05-17 04:00:00,6.1
2025-05-17 06:00:00,6.1
2025-05-17 07:00:00,6.1
2025-05-17 08:00:00,6.2
2025-05-17 09:00:00,6.2
2025-05-17 10:00:00,6.2
2025-05-17 11:00:00,6.2
2025-05-17 12:00:00,6.2
2025-05-17 13:00:00,6.2
2025-05-17 14:00:00,6.3
2025-05-17 16:00:00,6.3
2025-05-18 00:00:00,6.4
2025-05-18 01:00:00,6.4
