시간대,긍정,부정,총 댓글 수,log_댓글수,긍정률,긍정률_이동평균
2025-05-13 14:00:00,7.0,12.0,19.0,2.995732273553991,36.84210526315789,36.84210526315789
2025-05-13 15:00:00,10.0,15.0,25.0,3.258096538021482,40.0,38.421052631578945
2025-05-13 16:00:00,0.0,1.0,1.0,0.6931471805599453,5.0,27.280701754385962
2025-05-13 17:00:00,0.0,1.0,1.0,0.6931471805599453,5.0,16.666666666666668
2025-05-14 01:00:00,0.0,1.0,1.0,0.6931471805599453,5.0,5.0
2025-05-14 10:00:00,0.0,1.0,1.0,0.6931471805599453,5.0,5.0
2025-05-14 13:00:00,1.0,0.0,1.0,0.6931471805599453,95.0,35.0
2025-05-14 14:00:00,1.0,8.0,9.0,2.302585092994046,11.11111111111111,37.03703703703704
2025-05-14 15:00:00,4.0,33.0,37.0,3.6375861597263857,10.81081081081081,38.973973973973976
2025-05-14 16:00:00,4.0,15.0,19.0,2.995732273553991,21.052631578947366,14.32485116695643
2025-05-14 17:00:00,3.0,14.0,17.0,2.8903717578961645,17.647058823529413,16.503500404429197
2025-05-14 18:00:00,6.0,23.0,29.0,3.4011973816621555,20.689655172413794,19.796448524963523
2025-05-14 19:00:00,1.0,10.0,11.0,2.4849066497880004,9.090909090909092,15.809207695617433
2025-05-14 20:00:00,4.0,19.0,23.0,3.1780538303479458,17.391304347826086,15.723956203716325
2025-05-14 21:00:00,3.0,3.0,6.0,1.9459101490553132,50.0,25.494071146245062
2025-05-14 22:00:00,0.0,4.0,4.0,1.6094379124341003,5.0,24.1304347826087
2025-05-14 23:00:00,0.0,4.0,4.0,1.6094379124341003,5.0,20.0
2025-05-15 00:00:00,0.0,8.0,8.0,2.1972245773362196,5.0,5.0
2025-05-15 01:00:00,0.0,3.0,3.0,1.3862943611198906,5.0,5.0
2025-05-15 02:00:00,0.0,4.0,4.0,1.6094379124341003,5.0,5.0
2025-05-15 03:00:00,1.0,1.0,2.0,1.0986122886681096,50.0,20.0
2025-05-15 04:00:00,0.0,2.0,2.0,1.0986122886681096,5.0,20.0
2025-05-15 05:00:00,0.0,8.0,8.0,2.1972245773362196,5.0,20.0
2025-05-15 06:00:00,2.0,9.0,11.0,2.4849066497880004,18.181818181818183,9.393939393939394
2025-05-15 07:00:00,2.0,4.0,6.0,1.9459101490553132,33.33333333333333,18.838383838383837
2025-05-15 08:00:00,0.0,4.0,4.0,1.6094379124341003,5.0,18.838383838383837
2025-05-15 09:00:00,0.0,4.0,4.0,1.6094379124341003,5.0,14.444444444444443
